feature_set,model,split,r2,mae,rmse,n_train,n_test,n_scores,description
three_modality_scores_tagged_sts,ridge,1,-0.13229111661290194,1.9929120860625953,2.337210724471297,186,54,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,hist_gbr,1,-0.3113771589047838,2.1776722986308035,2.515258514989812,186,54,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,gbr,1,-0.07344929030998171,1.9625593677098034,2.2756715862847097,186,54,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,extra_trees,1,-0.021814940626103008,1.9358854226295898,2.220265673981452,186,54,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,svr_rbf,1,-0.0579083301146468,1.9953345318718334,2.2591384062872497,186,54,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,ridge,2,-0.06573821186203488,1.8480546739423689,2.266849683605046,199,41,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,hist_gbr,2,0.1495328036741339,1.5525328223462238,2.025005641099762,199,41,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,gbr,2,0.0335787552785356,1.785683967536392,2.1586423249771927,199,41,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,extra_trees,2,0.1184532903785146,1.6234378566467158,2.0616745898918896,199,41,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,svr_rbf,2,0.037606903781553624,1.7158786067455023,2.154138899787947,199,41,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,ridge,3,-0.07642250935686468,1.7538552430720697,2.161637533162553,193,47,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,hist_gbr,3,-0.23021629104541264,1.8173215838061207,2.31090570123947,193,47,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,gbr,3,-0.19516472379638672,1.7994126069092056,2.277746406666631,193,47,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,extra_trees,3,-0.060579905501402465,1.6976912728659102,2.145671260954458,193,47,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,svr_rbf,3,-0.2586602000292997,1.9010723559659362,2.3374683382483643,193,47,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,ridge,4,-0.10448356635608458,2.0772412429529106,2.576636941891567,205,35,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,hist_gbr,4,-0.3781926917073466,2.2732829776972663,2.8782503835307534,205,35,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,gbr,4,-0.1084419600456692,2.064576111527964,2.581250057750925,205,35,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,extra_trees,4,-0.05326276696631749,1.987192237947536,2.516181505910346,205,35,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,svr_rbf,4,-0.2374089284119727,2.190666677025039,2.7272831077323576,205,35,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_qa_sts,ridge,0,0.14353476952634014,1.7380050786193482,2.109814305922981,186,54,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,hist_gbr,0,0.17371152339054374,1.7557312169827382,2.0723123370156435,186,54,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,gbr,0,0.14035076069554897,1.7815082035790548,2.1137324074956534,186,54,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,extra_trees,0,0.2445476450753189,1.6338859228676652,1.9814946499299022,186,54,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,svr_rbf,0,0.26718467352913533,1.585093259254057,1.951581247172084,186,54,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,ridge,1,-0.0805527737662195,1.9356836169667144,2.2831887278439065,186,54,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,hist_gbr,1,0.18783052288151336,1.6731221807006198,1.9794391349101188,186,54,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,gbr,1,0.2657618719039462,1.5742296490921392,1.8820765646961701,186,54,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,extra_trees,1,0.16316660167848962,1.7238163923951115,2.00927010562344,186,54,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,svr_rbf,1,0.321574207240227,1.4709301673898225,1.8091309181184725,186,54,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,ridge,2,-0.1685752733992847,1.8875648357953414,2.3736998381906695,199,41,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,hist_gbr,2,0.14074143403677242,1.7002623235710932,2.035445081137435,199,41,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,gbr,2,0.22982056753961244,1.609563624098278,1.9270519038166598,199,41,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,extra_trees,2,0.266158223341438,1.5110999654541595,1.8810427677933619,199,41,3,Three STS cosine scores using Q+A framing to focus the modality.
