feature_set,model,split,r2,mae,rmse,n_train,n_test,n_scores,description
whole_text_one_score,hist_gbr,20,0.016537217968601525,2.0132018999822217,2.469243762827202,2259,499,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,20,0.04989712570760163,1.9798538034113369,2.427003020349735,2259,499,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,20,0.06480472883546884,1.9786707082976889,2.4078872766209463,2259,499,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,20,0.07139416863404957,1.9044998643409614,2.3993892244293584,2259,499,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,21,-0.007324098038727911,2.1046043544403705,2.530495749615512,2182,576,1,Mean-only baseline.
whole_text_one_score,hist_gbr,21,-0.00391226048449278,2.0928824502965107,2.526206681452553,2182,576,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,21,0.03598367808434688,2.0474687575828088,2.4755015004421392,2182,576,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,21,0.04071880109257098,2.0513751725791476,2.469414345432721,2182,576,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,21,0.048601047761052674,1.9885837629173753,2.4592480447121146,2182,576,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,22,-0.006002296172719301,2.0980244057039337,2.5798436294801994,2203,555,1,Mean-only baseline.
whole_text_one_score,hist_gbr,22,0.03750391138282172,2.040163967575696,2.523442329074901,2203,555,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,22,0.053023635141670744,2.0002014251874645,2.503015085208135,2203,555,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,22,0.05436317410687952,2.0119435510810355,2.5012441472515192,2203,555,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,22,0.017849586128432127,1.9874029823523973,2.5490766755664653,2203,555,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,23,-0.00040971255868593737,1.9405247664020897,2.3650582311263446,2220,538,1,Mean-only baseline.
whole_text_one_score,hist_gbr,23,-0.008735298688871351,1.949275692951888,2.374879056733883,2220,538,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,23,0.02819469579379119,1.9039564326381826,2.3310013283282953,2220,538,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,23,0.030654726593432713,1.9120871337828218,2.3280491070266147,2220,538,1,"One cosine score after concatenating visual, texture, and flavor."
