feature_set,model,split,r2,mae,rmse,n_train,n_test,pca_components,description
modality_cosines_plus_absdiff,gbr,2,0.10341009246744748,1.6108463968381805,2.079190927974653,199,41,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,extra_trees,2,0.21272342094646446,1.5377078664243375,1.9483237044297688,199,41,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,svr_rbf,2,0.3243460598486744,1.4064327812839583,1.8049268497738615,199,41,12,Modality cosines plus PCA of absolute modality differences.
qa_modality_cosines_plus_diff,ridge,0,0.5469961914533057,1.188350169698022,1.5344059933742473,186,54,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,hist_gbr,0,0.5739412831617688,1.1365858734486562,1.4880724869748185,186,54,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,gbr,0,0.5740385350160042,1.1313711529914936,1.4879026441079632,186,54,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,extra_trees,0,0.5338729601515355,1.2145785653391126,1.5564727010405521,186,54,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,svr_rbf,0,0.583681871100348,1.0992208714780853,1.4709639220703663,186,54,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,ridge,1,0.6052301003654526,1.172141377275539,1.3800373415190608,186,54,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,hist_gbr,1,0.5895229236979609,1.165330674260945,1.4072241394926264,186,54,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,gbr,1,0.5351974752460795,1.2321546233321483,1.497452521451891,186,54,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,extra_trees,1,0.4568822491289062,1.3373466845031448,1.6186979653759255,186,54,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,svr_rbf,1,0.4619622416278203,1.2683501106518777,1.6111100232277595,186,54,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,ridge,2,0.6584598436215926,0.9781867736551669,1.2832708673144804,199,41,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,hist_gbr,2,0.3294905376516053,1.3898962876071426,1.7980422982966537,199,41,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,gbr,2,0.4233589994123147,1.180817588817339,1.6674399706628098,199,41,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,extra_trees,2,0.5196866626236794,1.149174041172675,1.521807680956581,199,41,12,Q+A modality embeddings plus PCA of modality-specific differences.
qa_modality_cosines_plus_diff,svr_rbf,2,0.5218399491201766,1.1528921732651796,1.5183926510444736,199,41,12,Q+A modality embeddings plus PCA of modality-specific differences.
